Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Regional Futures - Events And Activations,Nan,Rural Industries Research & Development Coproation T/A Agrifutures Australia,Wagga Wagga,2650.0,Nan,Department Of Agriculture And Fisheries,Evokeag,Adelaide,5000.0,Nan,2021-11-21,Nonqueensland,Nonqueensland,Nonqueensland,25000.0
Regional Futures - Events And Activations,Nan,Innovation Bay Pty Ltd,Hobart,7004.0,Nan,Nan,Aurora Conference,Hope Island,4212.0,Nan,2022-11-25,Nonqueensland,Gold Coast,Nonqueensland,70000.0
Regional Network Fund,Round 1,Startup Catalyst Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Startup Catalyst Startup Community Leaders Mission - 2018,Usa,,Nan,2018-01-28,Brisbane (C),Nonqueensland,Mcconnel,72000.0
Regional Network Fund,Round 1,Noosa Shire Council,Tewantin,4565.0,Nan,Nan,Firetech 2020 International Conference In November 2020 And March 2021,Peregian Beach,4573.0,Nan,2020-02-26,Noosa (S),Sunshine Coast,Noosa,50000.0
Regional Network Fund,Nan,James Cook University,Smithfield,4878.0,Nan,Nan,Fnq Innovation Strategy And Action Plan,Smithfield,4878.0,Nan,2021-03-03,Cairns (R),Far North Queensland,Barron River,25108.0
Regional Network Fund,Round 1,Startup Catalyst Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Startup Catalyst Community Leaders Mission - 2017,Usa,,"Denver Co, Boulder Co (3 Days), San Francisco Ca (5 Days)",2016-12-09,Brisbane (C),Nonqueensland,Mcconnel,60000.0
Regional Network Fund,Collaborative Projects 2019-20 Round 1,Central Highlands Development Corporation,Emerald,4720.0,Nan,Sunshine Coast (Script)  Greater Whitsunday Alliance (Gw3)  Remote Area Planning And Development Board (Rapad),Food And Fibre Plus,Emerald,4720.0,"Longreach, Qld; Mackay, Qld; Biloela, Qld; Bowen Qld",2020-02-05,Central Highlands (R),Central Queensland,Gregory,75000.0
Regional Network Fund,Collaborative Projects 2019-20 Round 1,Sunshine Coast Regional Council,Maroochydore,4558.0,Nan,Smart Precinct Nq Limited  University Of The Sunshine Coast  Rockhampton Regional Council  Bundaberg Enterprise Centre Association Inc  Fraser Coast Regional Council  Community Lifestyle Support Ltd  Central Highlands Development Corporation (Chdc)  Moreton Bay Regional Industry And Tourism Ltd,Queensland Regional Innovation Benchmark (Qrib),Sippy Downs,4556.0,"Hervey Bay, Qld Bundaberg, Qld Townsville, Qld Rockhampton, Qld Emerald, Qld Kippa-Ring, Qld",2020-02-05,Sunshine Coast (R),Sunshine Coast,Buderim,75000.0
Regional Network Fund,Collaborative Projects 2019-20 Round 1,Gold Coast Innovation Hub Limited,Varsity Lakes,4227.0,Nan,Health Management Pty Ltd Trading As Yep Cairns  Split Spaces Mackay  Logan City Council  Redland City Council  Ipswich City Council  Community Lifestyle Support  Rapad,Scaling Wisdom Across Regional Queensland,Varsity Lakes,4227.0,"Ipswich, Qld  Redland Bay, Qld  Logan, Qld  Longreach, Qld Bundaberg, Qld",2020-03-12,Gold Coast (C),Gold Coast,Mermaid Beach,52500.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Spark Bureau Limited,Birtinya,4575.0,Nan,Nan,Support Program For Sunshine Coast Innovators,Birtinya,4575.0,Nan,2019-05-21,Sunshine Coast (R),Sunshine Coast,Kawana,40290.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Logan Startup Hub,Woodridge,4114.0,Nan,Nan,Logan Startup Hub,Woodridge,4114.0,Nan,2019-05-21,Logan (C),Logan,Woodridge,51824.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Livingstone Shire Council,Yeppoon,4703.0,Nan,Nan,The Hub@Capricorn Coast Startup Support Program,Yeppoon,4703.0,Nan,2019-05-21,Livingstone (S),Central Queensland,Keppel,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Ipswich City Council,Ipswich,4305.0,Nan,Nan,Make Possible Workshop Series,Ipswich,4305.0,Nan,2019-05-21,Ipswich (C),Ipswich,Ipswich,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Moneyley Pty Ltd,Samford Village,4520.0,Nan,Samford Commons Ltd  Innovate Moreton Bay,Sustainable Startup Hub,Samford Village,4520.0,Drop-In Hubs Will Be Accessed At Various Times,2019-05-21,Moreton Bay (R),Moreton Bay,Pine Rivers,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Rockhampton Regional Council - Smarthub,Rockhampton City,4700.0,Nan,Startup Capricorn  Cq University Australia,Rockhampton Smarthub Administrative Support,Rockhampton City,4700.0,Nan,2019-05-21,Rockhampton (R),Central Queensland,Rockhampton,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Noosa Shire Council,Tewantin,4565.0,Nan,Reboot Noosa  Coding From Beach  Sunshine Coast Screen Collective  Noosa Education & Training Alliance  Sunshine Coast Regional Innovation Program (Script),Ecosystem Organisation,Peregian Beach,4573.0,Nan,2019-05-21,Noosa (S),Sunshine Coast,Noosa,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Silicon Coast Limited,Minyama,4575.0,Nan,Coding From The Beach  Innovation Centre Sunshine Coast  University Of The Sunshine Coast,Connecting Startup Founders,Minyama,4575.0,"Kawana, Sippy Downs, Maroochydore.  Silicon Coast Works Across The Sunshine Coast Region, And Therefore Events And Workshops Are Provided Across The Coast From Caloundra To Noosa (See Business Activity Plan, Section 5.1)",2019-05-21,Sunshine Coast (R),Sunshine Coast,Kawana,7500.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Rural And Remote Innovation Australia (Rria) Inc,Atherton,4883.0,Nan,The Space Cairns  Ignite Fnq  Destiny Futures Corporation  Tablelands Regional Council  Tablelands Future Corporation  Aus Industry  Atherton Tablelands Chamber Of Commerce,Startup Tablelands Hub,Atherton,4883.0,Nan,2019-05-21,Tablelands (R),Far North Queensland,Hill,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Innovation Centre Sunshine Coast Pty Ltd,Sippy Downs,4556.0,Nan,Nan,Founder Fast Track Program,Sippy Downs,4556.0,Nan,2019-05-21,Sunshine Coast (R),Sunshine Coast,Buderim,21347.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Stepping Black Indigenous Corporation Australia,Craignish,4655.0,Nan,Macorp - Maryborough Aboriginal Housing Corporation,Stepping Up Through Business Enterprise,Craignish,4655.0,"Maryborough, Hervey Bay, South Burnett, North Burnett",2019-05-21,Fraser Coast (R),Wide Bay,Maryborough,7500.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Split Spaces Ltd,Mackay,4740.0,Nan,Mackay Regional Council,Split Spaces Community Manager,Mackay,4740.0,"Isaac, Whitsundays",2019-05-21,Mackay (R),Mackay-Whitsunday,Mackay,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Startup Gladstone Inc,Gladstone Central,4680.0,Nan,Central Queensland University  Uhy Haines Norton Gladstone Cq - Sothertons,Startup Gladstone Events 2019,Gladstone Central,4680.0,Nan,2019-05-21,Gladstone (R),Central Queensland,Gladstone,7500.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Thespace Australasia Pty Ltd,Southport,4215.0,Nan,Angel Loop  Cairns Regional Council  Fnq Angels  Macdonnells Law  Crowe Horwath  Startup Tablelands  Ignite Fnq,12 Month Incubation Program & Raising Angel Investment,Southport,4215.0,"Online Activities, And Included Cairns Beaches, Tablelands, Port Douglas, Weipa Town, Wujal Wujal, Cook Shire, Bamaga, Thursday Island, Gulf Savannah (Georgetown, Chillagoe, Normaton) And The Precinct, Sunshine Coast, Gold Coast",2019-05-21,Gold Coast (C),Gold Coast,Bonney,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,The Powerhouse Hub Ltd,Noosaville,4566.0,Nan,Ms Laura Harkins-Small  Mr Ross Hepworth  Ms Sharelle Day,Enhanced Business Development Support For Regional Female-Headed Startups,Noosaville,4566.0,"Sunshine Coast, Toowoomba, Nambour/Gympie, Gold Coast, Hinterland, Caloundra",2019-05-21,Noosa (S),Sunshine Coast,Noosa,43750.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Bundaberg Enterprise Centre Association Inc,Bundaberg Central,4670.0,Nan,Ausindustry  At_Incubator,Startup Switchboard,Bundaberg Central,4670.0,"Bundaberg Bec - 20B Quay St, Bundaberg",2019-05-21,Bundaberg (R),Wide Bay,Bundaberg,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Cls Ability Enterprises Ltd,Kalkie,4670.0,Nan,"Tikkun Olam Makers (Tom Global - Head Office In Tel Aviv, Israel)  Ulton Ficial Planning  The Generator  Bundaberg Regional Council  Tafe Queensland (Bundaberg)  Less Industries  Central Queensland University  Bundaberg Fruit & Vegetable Growers  Rosa Cattle Company  Allied Health Centre  Regional Housing Limited  Ms Stephanie Piper",At_Incubator: Hardware Entrepreneurship Program,Kalkie,4670.0,Nan,2019-05-21,Bundaberg (R),Wide Bay,Bundaberg,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Gold Coast Innovation Hub Limited,Varsity Lakes,4227.0,Nan,Nan,Gold Coast Regional Administration And Reporting,Varsity Lakes,4227.0,Nan,2019-05-21,Gold Coast (C),Gold Coast,Mermaid Beach,75000.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Iihub Ltd,Cairns City,4870.0,Nan,Complete Business Solutions (Qld) Pty Ltd  Entrepreneurs And Small Business Indigenous Corporation,Building Skills And Capacity Through Education Empowerment And Collaboration,Cairns City,4870.0,Nan,2019-05-21,Cairns (R),Far North Queensland,Cairns,43750.0
Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Canvas Coworking Inc,Toowoomba City,4350.0,Nan,Nan,Canvas Coworking Inc Programs And Activities Support,Toowoomba City,4350.0,Nan,2019-05-21,Toowoomba (R),Darling Downs,Toowoomba North,75000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,The University Of Sydney  Department Of Agriculture And Fisheries,Exploring Opportunities To Improve Wheat Performance To Future Warmer Climates - Najeeb Ullah,Toowoomba City,4350.0,Nan,2017-03-20,Brisbane (C),Darling Downs,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,James Cook University,Douglas (Townsville),4814.0,Nan,University Of Florida  Suncorp Group Ltd,A Smartphone-Based Decision Support Tool To Stimulate Cyclone Mitigation - Daniel Smith,Douglas,4814.0,Nan,2016-01-28,Townsville (C),Townsville,Mundingburra,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Meat And Livestock Australia - Sydney,Female Reproduction Phenobank And Validation Herds - Marina Fortes,St Lucia,4067.0,Armidale  /  Katherine,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,149544.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Nufarm Australia Limited  Department Of Agriculture And Fisheries,New Horizons With Bioclay: Protecting Crops From Aphids And Whiteflies - Karl Robinson,St Lucia,4067.0,Gatton  /  Redlands,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Lantern Pharma  Wesley Medical Research Ltd - Master,Drug Repurposing For Neurodegeneration Using Artificial Intelligence And Machine Learning - Richard Gordon,Herston,4006.0,"Dallas, Texas (Usa)",2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Department Of Defence - Science And Technology Group - Brisbane,Supersonic Combustion Of Hydrocarbon Fuels For High-Mach-Number Axisymmetric Scramjets - Athanaraya Veeraragavan,St Lucia,4067.0,Pullenvale,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,300000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Griffith University,Nathan,4111.0,Nan,Elevare Energy Pty Ltd,Making Solar Better: Advanced Electronics For Distributed Energy Storage - Wayne Water,Enoggera,4051.0,Nan,2016-01-28,Brisbane (C),Brisbane And Redlands,Toohey,180000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Griffith University,Southport,4215.0,Nan,City Of Gold Coast,"Development Of Cost Effective, Large-Scale Nearshore Nourishment For Queensland Beach - Darrell Strauss",Southport,4215.0,Nan,2016-01-28,Gold Coast (C),Gold Coast,Bonney,300000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Griffith University,Nathan,4111.0,Nan,Department Of Environment And Heritage Protection,Cost-Effective Restoration Of Wetlands That Protect The Great Barrier Reef - Ferda Adame,Nathan,4111.0,Nan,2016-01-28,Brisbane (C),Brisbane And Redlands,Toohey,180000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,James Cook University,Smithfield,4878.0,Nan,The Prince Charles Hospital Foundation,New Therapies For Coeliac Disease: Helminths And Their Secreted Products - Paul Giacomin,Smithfield,4878.0,Nan,2016-01-28,Cairns (R),Far North Queensland,Barron River,300000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Australian Institute Of Marine Science,Cape Cleveland,4810.0,Nan,Great Barrier Reef Foundation (Gbrf),"Maximising Gbr Resilience By Integrating Physiology, Evolutionary Biology, And Macroecology - Juan Ortiz",Cape Cleveland,4810.0,Nan,2016-01-28,Townsville (C),Townsville,Burdekin,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland - Rbwh - Herston,Herston,4029.0,Nan,Metro North Hospital And Health Service - Royal Brisbane And Women'S Hospital,The Early Diagnosis Of Neurodevelopmental Disabilities Using Integrated Bioengineering Technology - Steve Mehrkanoon,Herston,4006.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,113552.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Csiro,Dutton Park,4102.0,Nan,Nan,Satellite Detection Of Marine Pollution In The Great Barrier Reef - David Blondeau-Patissier,Dutton Park,4102.0,Nan,2016-01-28,Brisbane (C),Brisbane And Redlands,South Brisbane,180000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,Central Queensland University,Branyan,4670.0,Nan,Perfection Fresh Australia Pty Ltd  Department Of Agriculture And Fisheries,Early Detection Of Crop Stresses In Tropical Protected Cropping Systems - Chengyuan (Stephen) Xu,Branyan,4670.0,Nan,2016-01-28,Bundaberg (R),Wide Bay,Bundaberg,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Licensys Pty Ltd,Road Monitoring And Anomaly Detection Using Microwave Based Sensors - Konstanty Bialkowski,Sumner,4074.0,Gatton,2017-03-20,Brisbane (C),Ipswich,Maiwar,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Boeing Defence Australia Ltd,Environmentally Adaptive Antimicrobial Surfaces For Application In The Aircraft Industry - Md. Daloar Hossain,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,172500.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Redback Operations Pty Ltd,"Data Management, Exploration And Visualization For Smart Energy Grid - Hina Khan",Indooroopilly,4068.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,101737.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Redback Operations Pty Ltd,"Machine Learning, Data Analytics, And Knowledge Management For Microgrid Data - Wen Hua",Indooroopilly,4068.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Department Of Environment And Heritage Protection  Department Of Energy And Water Supply,Is Queensland'S Economy Resilient To An Energy Shock? - Lynette Molyneaux,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,Woolloongabba,4102.0,Nan,Admedus Immunotherapies,Approaching Antigen-Presenting Cell Immunotherapy For Cervical Cancers Using Single-Cell Transcriptomics - Zewen Kelvin Tuong,Woolloongabba,4102.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,South Brisbane,96268.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,University Of The Sunshine Coast,Sippy Downs,4556.0,Nan,Queensland Institute Of Medical Research Berghofer  Sunshine Coast Hospital And Health Service,More Rapid And Cost-Effective Diagnosis Of Antibiotic-Resistant Infections - Derek Sarovich,Sippy Downs,4556.0,Birtinya  /  Nambour  /  Herston,2017-03-20,Sunshine Coast (R),Sunshine Coast,Buderim,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,University Of Southern Queensland,Springfield Central,4300.0,Nan,Queensland University Of Technology - Gardens Point Campus - Master  Netcare Holdings (Netcare) Pty Ltd  University Of New South Wales (Unw),Automated Mood Inference Tool For Relapse Prediction In Mood Disorders - Rajib Rana,Springfield Central,4300.0,Townsville  /  East Brisbane,2017-03-20,Ipswich (C),Ipswich,Jordan,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Australian Coal Research Limited,Developing And Implementing New Chemistries To Effectively Recover Fine Coals - Xumeng Chen,St Lucia,4067.0,Capcoal Mine  /  Newlands Coal  /  Caval Ridge,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Metro South Hospital And Health Services - Princess Alexandra Hospital,Electromagnetic Torso Scanner For Fatty Liver Disease Detection And Monitoring - Sasan Ahdi Rezaeieh,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Arrow Energy Pty Ltd  Australia Pacific Lng Pty Ltd  Qgc Pty Limited  Santos Limited,Enhancing Csg Well Production Through Well Bottom-Hole Pressure Control - Mahshid Firouzi,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Research Fellowships,Defence Crc Tas Limited,Toowong,4066.0,Nan,Nan,Establishment And Operation Of The Dcrc Tas In Queensland,Toowong,4066.0,Nan,2019-01-31,Brisbane (C),Brisbane And Redlands,Maiwar,1000000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Redflow Ltd,Cheaper And Safer Flow Battery For Micro-Grid Energy Storage - Zhongfan Jia,St Lucia,4067.0,Seventeen Miles Rocks,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,129799.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Ellume Pty Ltd,Nano-Lateral Flow Assays For Rapid And Ultra-Sensitive Influenza Detection - Chang Lei,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Redback Operations Pty Ltd,Peer-To-Peer Energy Trading Schemes For Sustainable Cities - Wayes Tushar,St Lucia,4067.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Maiwar,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Griffith University,Nathan,4111.0,Nan,Murweh Shire Council,Stimulating Regional Tourism Through Virtual Reconstruction Of QueenslandS Wwii Heritage - Brent Moyle,Charleville,4470.0,Gold Coast  /  Brisbane,2017-03-20,Brisbane (C),Outback Queensland,Toohey,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Griffith University,Southport,4215.0,Nan,The Prince Charles Hospital Foundation,Decreasing Complications With Mechanical Hearts Through Improved Implantation Techniques - Shaun Gregory,Chermside,4032.0,Nan,2017-03-20,Gold Coast (C),Brisbane And Redlands,Bonney,59780.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Griffith University,Southport,4215.0,Nan,Paradigm Biopharmaceuticals Ltd  Townsville Hospital And Health Service,"Old Drug, New Cause: Fighting Arthritis Caused By Queensland Viruses - Penny Rudd",Southport,4222.0,Brisbane  /  Townsville,2017-03-20,Gold Coast (C),Gold Coast,Bonney,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Griffith University,Nathan,4111.0,Nan,Fisheries Research And Development Corporation  Queensland Oyster Growers Association Inc  Autore R&D Pty Ltd  Queensland Museum Network  Aquafarms Queensland Pty Ltd,Reinvigorating The Queensland Oyster Industry - Carmel Mcdougall,Nathan,4111.0,Booral,2017-03-20,Brisbane (C),Brisbane And Redlands,Toohey,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,Nan,Townsville Hospital And Health Service,Combating Antibiotic-Resistant Infections Using A Health System Approach - Emma Mcbryde,Douglas,4814.0,Nan,2017-03-20,Townsville (C),Townsville,Mundingburra,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,Nan,Great Barrier Reef Marine Park Authority,The Value Of Conservation Parks On The Great Barrier Reef - April Hall,Douglas,4814.0,Capricorn Bunkers  /  Palm Islands  /  Hinchinbrook Island,2017-03-20,Townsville (C),Townsville,Mundingburra,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,Nan,Townsville Hospital And Health Service,Clincial And Economic Evaluation Of Novel Blood Tests For Stroke - Joseph Moxon,Douglas,4814.0,Nan,2017-03-20,Townsville (C),Townsville,Mundingburra,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Central Queensland University,Branyan,4670.0,Nan,Commonwealth Scientific And Industrial Research Organisation (Csiro)  Children'S Health Queensland Hospital And Health Service - Master,Cp Muscle-Movement Toolbox: Expand Early Detection Of Cerebral Palsy - Lee Barber,South Brisbane,4101.0,Nan,2017-03-20,Bundaberg (R),Brisbane And Redlands,Bundaberg,110716.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,Nan,Sunshine Coast Hospital And Health Service,A Proactive Approach For Reducing Medication Errors In Queensland Hospitals - Natassia Goode,Birtinya,4575.0,Nan,2016-01-28,Sunshine Coast (R),Sunshine Coast,Buderim,120000.0
Research Fellowships,Aq Research Fellowships 2015-16 Round 1,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,Nan,Nan,Process Improvement Of Energy And Value Extraction From Agro-Industrial Waste - Bernadette Mccabe,Darling Heights,4350.0,Nan,2016-01-28,Toowoomba (R),Darling Downs,Toowoomba South,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Central Queensland University,Branyan,4670.0,Nan,Australian Sweetpotato Growers Inc  Organic Crop Protectants Pty Ltd  Department Of Agriculture And Fisheries,Novel Approaches For Root-Knot Nematodes Control - Yujuan Li,Rubyanna,4670.0,Rockhampton,2017-03-20,Bundaberg (R),Wide Bay,Bundaberg,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Griffith University,Southport,4215.0,Nan,Children'S Health Queensland Hospital And Health Service - Master,The Personalised Digital Patient:  Helping Children With Lower Limb Deformities - Christopher Carty,South Brisbane,4101.0,Gold Coast,2017-03-20,Gold Coast (C),Brisbane And Redlands,Bonney,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Csiro,Herston,4006.0,Nan,Queensland Cerebral Palsy And Rehabilitation Research Centre,Innovative Web-Based Clinical Decision Support Tool For Paediatric Brain Injury - Alex Pagnozzi,Herston,4006.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Csiro,Herston,4006.0,Nan,Royal Brisbane And Women'S Hospital Foundation - Master,"Consult: A Connectivity-Based Surgical Planning Tool, Incorporating Advanced Functional Neuroimaging - Lee Reid",Herston,4006.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Metro South Hospital And Health Service,Woolloongabba,4102.0,Nan,Translational Research Institute,"Treatment Impacts On Inflammation, Subjective Symptoms And Microbiome In Ibd/Ibs - Marcus Gray",Woolloongabba,4102.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,South Brisbane,280000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Queensland University Of Technology,Kelvin Grove,4059.0,Nan,Field Orthopaedics Pty Ltd,Antibiotic - Eluting Coatings For Antimicrobial Orthopaedic Implants - Phong Tran,Kelvin Grove,4059.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,296856.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Queensland University Of Technology,Brisbane City,4000.0,Nan,Associated Grain Pty Ltd,Tropical Pulses For Queensland - Thi My Linh Hoang,Brisbane City,4000.0,Dalby,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,180000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Queensland University Of Technology,Brisbane City,4000.0,Nan,Associated Grain Pty Ltd,Tropical Pulses For Queensland - Sudipta Das Bhowmik,Brisbane City,4000.0,Dalby,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Queensland University Of Technology,Kelvin Grove,4059.0,Nan,Q-Pharm Pty Ltd  Melanoma Patients Australia Limited  Queensland Health,Testing New Technology In Skin Cancer Prevention - Elke Hacker,Kelvin Grove,4059.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,Mcconnel,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Sunshine Coast Hospital And Health Service,Birtinya,4575.0,Nan,University Of The Sunshine Coast  Prince Of Wales Hospital  University Of New South Wales  Metro North Health And Hospital Services - Master,Novel Antimicrobial Stewardship Innovations To Preserve Antibiotics For The Future - Jennifer Broom,Birtinya,4575.0,Brisbane  /  Sydney,2017-03-20,Sunshine Coast (R),Sunshine Coast,Kawana,300000.0
Research Fellowships,Aq Research Fellowships 2016-17 Round 2,Queensland University Of Technology - Translational Research Institute,Woolloongabba,4102.0,Nan,Princess Alexandra Hospital Research Foundation  Tesaro,An Accurate Companion Diagnostic Predicting Patient Response To Parp Inhibitors - Joshua Burgess,Woolloongabba,4102.0,Nan,2017-03-20,Brisbane (C),Brisbane And Redlands,South Brisbane,180000.0
