Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Nexgen Plants Pty Ltd,St Lucia,4067.0,Nan,Nan,Virus Resistance Driving Food Security,St Lucia,4067.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,Maiwar,222900.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Next Generation Mobility Pty Ltd,Tugun,4224.0,Nan,Nan,The Future Of Power Wheelchairs,Tugun,4224.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Currumbin,84518.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Q G E Pty Ltd,South Brisbane,4101.0,Nan,Nan,Ex-Online,South Brisbane,4000.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,South Brisbane,247228.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Sisa-Tech Pty Ltd,Palm Beach,4221.0,Nan,Nan,Beta Test Of Vorteil - A New Data Centre And Cloud Operating System,Palm Beach,4221.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Burleigh,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Site Diary Pty Ltd,Wakerley,4154.0,Nan,Nan,Site Diary,Wakerley,4154.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,Chatsworth,88500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Sales Miner Pty Ltd,Newstead,4006.0,Nan,Nan,Market Segmentation Analytical And Visualisation Engine,Newstead,4006.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Q-Cool Pty Ltd,Coorparoo,4151.0,Nan,Nan,"Thermosphere, A Smart, Zone-Able, Modular, Concealed And Highly Energy Efficient Airconditioner",Coorparoo,4151.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Greenslopes,245343.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Safecam Technologies Pty Ltd,Yatala,4207.0,Nan,Nan,Safestruct: Roadwork Safety Based Speed Enforcement Using 24/7 Unmanned Fully Autonomous And Automated System,Yatala,4207.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Coomera,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Ir4 Pty Ltd,Yatala,4207.0,Nan,Nan,Development Of Uv Cured Paint Technology Utilising Uv Led Lights On Fabricated Structural Steel,Yatala,4207.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Coomera,187500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Ivvy Pty Ltd,Varsity Lakes,4227.0,Nan,Nan,Ivvy Supplier Management Solution,Varsity Lakes,4227.0,Nan,2017-03-10,Gold Coast (C),Gold Coast,Mermaid Beach,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Inline Orthopaedics Pty Ltd (In Liquidation),Samford Village,4520.0,Nan,Nan,Hospital Audit Trials Of A Computerised Surgical Assistance System For Total Hip Replacement Surgery.,Samford Village,4520.0,Nan,2017-03-09,Moreton Bay (R),Moreton Bay,Pine Rivers,62500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Huds And Toke Pty Ltd,Coolum Beach,4573.0,Nan,Nan,Huds And Toke Pty Ltd International Digital Expansion Project,Warana,4575.0,Nan,2017-03-09,Sunshine Coast (R),Sunshine Coast,Kawana,88975.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Immersaview Pty Ltd,Banyo,4014.0,Nan,Nan,"A Cloud Based, Video Streaming Software As A Service",Banyo,4014.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Nudgee,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Kfsu Ltd,Ayr,4807.0,Nan,Nan,Phytocel An Innovative Functional Fibre From Sugarcane That Improves Cost And Claims In Manufactured Goods,Ayr,4807.0,Nan,2017-03-09,Burdekin (S),Townsville,Burdekin,71600.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Motor Cycle Innovation Pty Ltd,Ashgrove,4060.0,Nan,Nan,Motoinno Ts3 - Triangulated Steering And Suspension System For Motorcycles,Ashgrove,4060.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Cooper,187500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Myoni Group Pty Ltd,Clontarf,4019.0,Nan,Nan,Myoni Cup: The Clever Companion For Smooth Periods,Clontarf,4019.0,Nan,2017-03-09,Moreton Bay (R),Moreton Bay,Redcliffe,97593.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Micare Global Pty Ltd,Brisbane City,4000.0,Nan,Nan,Mied Enterprise Management Solution,Brisbane City,4000.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
