_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
258,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Trident Rfid Pty Ltd,Clontarf,4019.0,,,Onetime - The Future Of Mass-Participation Sports Timing,Clontarf,4019.0,,2017-09-05,Moreton Bay (R),Moreton Bay,Redcliffe,241750
259,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Traktek Pty Ltd,Holloways Beach,4878.0,,,Bog Out Vehicle Recovery Innovation - National Distribution Phase,Holloways Beach,4878.0,,2017-09-05,Cairns (R),Far North Queensland,Barron River,96000
260,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,The Trustee For The Propertease Trust,Fairfield,4103.0,,,Bringing Town Planning Into The 21St Century With Automation,Fairfield,4103.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Miller,99123
261,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Tiltsta Trading Pty Ltd,Sippy Downs,4556.0,,,Tiltsta Us Market Entry,Sippy Downs,4556.0,,2017-09-05,Sunshine Coast (R),Sunshine Coast,Buderim,100000
262,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Watertech Services International Pty Ltd,Nerang,4211.0,,,Es5 Spa Sanitisation System,Nerang,4211.0,,2017-09-05,Gold Coast (C),Gold Coast,Gaven,95500
263,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Actualisation Group Pty Ltd,Coorparoo,4151.0,,,Customer Acquisition,Coorparoo,4151.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Greenslopes,78870
264,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Victus Health Trading Pty Ltd,Bli Bli,4560.0,,,The Keto-Project,Bli Bli,4560.0,,2017-09-05,Sunshine Coast (R),Sunshine Coast,Ninderry,100000
265,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Utilitas Group Pty Ltd,Brisbane City,4000.0,,,Ugrowx Cloud-Based Biofutures Marketplace,Brisbane City,4000.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Mcconnel,98500
266,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Verton Technologies Australia Pty Ltd,Milton,4064.0,,,Verton Market Expansion - Revolutionising Crane Operations,Milton,4064.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Cooper,100000
267,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,The Impact Suite Pty Ltd,South Brisbane,4101.0,,,The Impact Suite Post Mvp Development To Commercialisation,South Brisbane,4101.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
268,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Stickycell Pty Ltd,Lutwyche,4030.0,,,A Novel In Vitro Diagnostic Tool To Personalise Immune-Regulatory Therapies,Lutwyche,4030.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Clayfield,97500
269,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Skin Analytics Pty Ltd,Varsity Lakes,4227.0,,,Effective Embedding Of Artificial Intelligence In Melanoma Screening,Varsity Lakes,4227.0,,2017-09-05,Gold Coast (C),Gold Coast,Mermaid Beach,88969
270,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Streamline Architectural Solutions Pty Ltd,Laidley,4341.0,,,Streamline-Rescom Barrier Wall,Laidley,4341.0,,2017-09-05,Lockyer Valley (R),Ipswich,Lockyer,100000
271,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Surepact Holdings Pty Ltd,Wights Mountain,4520.0,,,Kickstart Surepact,Pimpama,4209.0,,2017-09-05,Moreton Bay (R),Gold Coast,Pine Rivers,100000
272,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Suncayr Pty Ltd,Moorooka,4105.0,,,"Commercializing Uv Protection Stickers In Queensland, Australia, And Oceania",Kangaroo Point,4169.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
273,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,T & O Pty Ltd,Kelvin Grove,4059.0,,,Commercialisation Of The Storyboard Social Technology Platform,Kelvin Grove,4059.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Cooper,100000
274,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Techshot Pty Ltd,Camp Hill,4152.0,,,Commercialising Techshot (A Cricket Batting Training Aid) Internationally.,Camp Hill,4152.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Bulimba,99280
275,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Schatz Forensic Pty Ltd,Brisbane City,4000.0,,,Accelerating Cyber & Forensic Investigations,Brisbane City,4000.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
276,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Sitesee Pty Ltd,Fortitude Valley,4006.0,,,Intelligent Feature Extraction And Visualisation Of Mobile Phone Towers,Fortitude Valley,4006.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Mcconnel,98000
277,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 3,Shorthand Pty Ltd,Milton,4064.0,,,Full-Stack Storytelling Platform For Publishers And Marketers,Milton,4064.0,,2017-09-05,Brisbane (C),Brisbane And Redlands,Cooper,200386
278,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Cardycooler Pty Ltd,Magnetic Island,4819.0,,,Setting Up Local Manufacturing,Nelly Bay,4819.0,,2018-07-23,Townsville (C),Townsville,Townsville,80000
279,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Cluster Biotechnology Pty Ltd,Caloundra West,4215.0,,,Field Trials Of An Organic Pesticide Against Qld Fruit Fly,Caloundra West,4551.0,,2018-07-23,Sunshine Coast (R),Sunshine Coast,Kawana,90878
280,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Canaria Technologies Pty Ltd,Fortitude Valley,4006.0,,,Commercialising The Earpiece Diagnostic Canaria Technology In The Resources Sector,Fortitude Valley,4006.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,95140
281,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Buderim Bucket Company Pty Ltd,Buderim,4556.0,,,Accelerated Commercialisation Of The Strucket - The Original Strainer Bucket,Buderim,4556.0,,2018-07-23,Sunshine Coast (R),Sunshine Coast,Buderim,100000
282,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Buildstack Pty Ltd,Mudgeeraba,4213.0,,,Securestack Software-As-A-Service Product Project,Mudgeeraba,4213.0,,2018-07-23,Gold Coast (C),Gold Coast,Mudgeeraba,94000
283,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Dec-Uav Pty Ltd - Fortitude Valley,Fortitude Valley,4006.0,,,Commercialisation Of A Compliance-As-A-Service Platform For Commercial Drone Operations,Fortitude Valley,4006.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,250000
284,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Din Dins Club Australia Pty Ltd,Brisbane City,4000.0,,,Turning Queensland Into A World Leading Chinese Friendly Destination,Brisbane City,4000.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,96644
285,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,De Motu Cordis Pty Ltd,Wilston,4051.0,,,Commercialization Of The Epihaler™ Dpi For Non-Invasive Treatment Of Anaphylaxis,Chermside,4032.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Stafford,100000
286,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Codemakers Australia Pty Ltd,Brisbane City,4000.0,,,Refine Platform For Scale And Commercialise In The Us Market,Brisbane City,4000.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,80000
287,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Data Farming Pty Ltd,Toowoomba City,4350.0,,,Long Term Productivity Zones Created Automatically For Agronomists And Farmers,Toowoomba City,4350.0,,2018-07-23,Toowoomba (R),Darling Downs,Toowoomba North,100000
288,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Blenktech Pty Ltd,Spring Hill,4000.0,,,Commercialisation Of The Hyraiq Retail Lease Negotiation Software,Spring Hill,4000.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
289,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Askable Pty Ltd,Fortitude Valley,4006.0,,,New Zealand (Nz) Expansion And International Automation,Fortitude Valley,4006.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
290,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Australasian Drilling Institute Pty Ltd,Aeroglen,4870.0,,,Benchmark Competency Based Observations (Cbo) Project,Aeroglen,4870.0,,2018-07-23,Cairns (R),Far North Queensland,Cairns,100000
291,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Ahangari Enterprises Pty Ltd,Sunnybank,4109.0,,,Labiosync - A Revolution For Compliance In Myofunctional Orthodontics,Sunnybank,4109.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Toohey,48550
292,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Advanced Agricultural Systems Pty Ltd,Gindie,4702.0,,,Delivering Robots To Farmers,Gindie,4702.0,,2018-07-23,Central Highlands (R),Central Queensland,Gregory,249360
293,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Advvy Pty Ltd,South Brisbane,4101.0,,,Scaling Of Advvy’S Media Agency Workflow Platform Internationally,South Brisbane,4101.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
294,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Bidhive Pty Ltd,Ashgrove,4060.0,,,Bidhive Platform Commercialisation,Ashgrove,4060.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Cooper,100000
295,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Bioherbicides Australia Pty Ltd,Gatton,4343.0,,,Environmentally Safe Herbicide Delivery System For Control Of Unwanted Trees.,Gatton,4343.0,,2018-07-23,Lockyer Valley (R),Darling Downs,Lockyer,100000
296,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Beneterra Pty Ltd,Brisbane City,4000.0,,,Commercialising The Benevap Bv150-1A Technology For Landfill Leachate Applications,Brisbane City,4000.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
297,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Australasian Rural Pty Ltd,Emerald,4720.0,,,Phase 2 - Farm Management Trial On Two Large Cattle Properties,Gordonstone,4723.0,,2018-07-23,Central Highlands (R),Central Queensland,Gregory,100000
298,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Becon Health Pty Ltd,Townsville City,4810.0,,,Opening Up Access To Allied Healthcare Over Video,Townsville City,4810.0,,2018-07-23,Townsville (C),Townsville,Townsville,80000
299,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Scott Airway Management Pty Ltd,Teneriffe,4005.0,,,Sam Safety Seal  - Oropharyngeal Shield,Teneriffe,4005.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
300,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Puctto Pty Ltd,Indooroopilly,4068.0,,,Commercialisation Of Puctto: Fashion Visualization Technology,Indooroopilly,4068.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Maiwar,100000
301,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Social Impact Group Pty Ltd,Southport,4215.0,,,Little Phil Fundraising Platform,Southport,4215.0,,2020-12-02,Gold Coast (C),Gold Coast,Southport,100000
302,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Sensaweb Pty Ltd,Karana Downs,4306.0,,,Sensaweb Real-Time Radiation Area Monitoring,Karana Downs,4306.0,,2020-12-02,Brisbane (C),Ipswich,Moggill,100000
303,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Native Beeings Pty Ltd,Cleveland,4163.0,,,Commercialising Australian Native Bee Propolis Products,Laidley,4341.0,,2020-12-02,Redland (C),Ipswich,Oodgeroo,100000
304,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,National Plastics & Rubber Pty Ltd,Sumner,4074.0,,,Hosemate™ Commercialisation,Sumner,4074.0,,2020-12-02,Brisbane (C),Ipswich,Mount Ommaney,100000
305,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Pinch Labs Pty Ltd,Fortitude Valley,4006.0,,,Notiv Commercialisation In Professional Services Market,Fortitude Valley,4006.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,150000
306,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Padmore City Pty Ltd,Ashgrove,4060.0,,,"Online Virtual, City-Themed Learning Platform.",Ashgrove,4060.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Cooper,100000
307,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Sunbirds Aero Pty Ltd,Fortitude Valley,4006.0,,,Solar Powered Drones For Long Range Mapping Solutions,Fortitude Valley,4006.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,50000
308,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Embrayse Pty Ltd,Wishart,4122.0,,,Embrayse Meal Management Solution For Aged Care,Wishart,4122.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mansfield,97000
309,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Earthoffset Pty Ltd,Newstead,4006.0,,,Commercialisation Of Organic Waste Recycling Technology,Newstead,4006.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
310,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Hero Software Pty Ltd,Maleny,4552.0,,,Home Energy Rating & Optimisation (Hero) - Building Simulation Software,Maleny,4552.0,,2021-12-20,Sunshine Coast (R),Sunshine Coast,Glass House,100000
311,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Geobotica Pty Ltd,Brisbane,4000.0,,,3D Cognitive Mapping,Brisbane,4000.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mcconnel,99996
312,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Aeromech Pty Ltd,Brisbane City,4000.0,,,Sargo - Search And Rescue Go,St Lucia,4072.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
313,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Wildfire Energy Pty Ltd,Brisbane City,4000.0,,,Waste To Hydrogen,Murarrie,4172.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,200000
314,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Concrete Data Sensors Pty Ltd,Clontarf,4019.0,,,Structural Integrity Monitoring Of Concrete And Wall Structures,Clontarf,4019.0,,2021-12-20,Moreton Bay (R),Moreton Bay,Redcliffe,100000
315,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Brancher Pty Ltd,Newstead,4006.0,,,Virtual Mentoring And Career Development For Businesses And Industry Associations,Newstead,4006.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
316,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Mct (Australia) Pty Ltd,Brisbane City,4000.0,,,Pro-Grade Physio Relief Anywhere – Beartrap,Brisbane City,4000.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
317,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Cake Equity Pty Ltd,Palm Beach,4221.0,,,Cake Sydney Launch,Palm Beach,4221.0,,2020-12-02,Gold Coast (C),Gold Coast,Burleigh,100000
318,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Blenktech Pty Ltd,Spring Hill,4000.0,,,"Procurepro: Ai-Based, Scalable, High-Volume Contracting Software For Construction/Infrastructure",Newmarket,4051.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,200000
319,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Canaria Technologies Pty Ltd,Hendra,4011.0,,,Commercialising The Canaria-V,Fortitude Valley,4006.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Clayfield,200000
320,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Calvett Co Pty Ltd,Carrara,4211.0,,,Commercialisation Of The Herd Digital Platform,Carrara,4211.0,,2020-12-02,Gold Coast (C),Gold Coast,Mudgeeraba,100000
321,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Bidcrete Pty Ltd,West End,4101.0,,,Bidcrete,West End,4101.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
322,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Assetaccountant Pty Ltd,Newstead,4006.0,,,Assetaccountant (Aa) Global Readiness,Newstead,4006.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
323,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Bioherbicide Australia Pty Ltd,Annerley,4103.0,,,Di-Bak G Scale Up To Broader Market,Gatton,4343.0,,2020-12-02,Brisbane (C),Darling Downs,Miller,200000
324,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Bidhive Pty Ltd,Ashgrove,4060.0,,,Bidhive Mid-Market Channel Partner Project,Ashgrove,4060.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Cooper,180000
325,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Cardly Pty Ltd,Buderim,4556.0,,,Promoting Cardly To Australia & The World,Buderim,4556.0,,2020-12-02,Sunshine Coast (R),Sunshine Coast,Buderim,100000
326,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Iisolutions Pty Ltd,Darra,4076.0,,,Smart City Infrastructure Management Osp,Darra,4076.0,,2020-12-02,Brisbane (C),Ipswich,Mount Ommaney,100000
327,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Idu Technologies Pty Ltd,Carina,4152.0,,,Idu Verification Of Identity (Voi) Scale Up Programme,Carina,4152.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Bulimba,100000
328,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Literacy For Boys Pty Ltd,Sherwood,4075.0,,,Literacy For Boys Commercialisation,Sherwood,4075.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Miller,100000
329,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Law On Earth Au Pty Ltd,Brisbane City,4000.0,,,"Automated, Self-Service Legal Platform",Brisbane City,4000.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
330,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Docto Holdings Pty Ltd,Broadbeach Waters,4218.0,,,Medical Specialist Telehealth Service For Rural Queensland,Broadbeach Waters,4218.0,,2020-12-02,Gold Coast (C),Gold Coast,Surfers Paradise,200000
331,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Charlton Innovation Pty Ltd,Windsor,4030.0,,,International Commercialisation Of Lock Jaw Ladder Grip,Windsor,4030.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Clayfield,100000
332,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Gb Operations Pty Ltd,Birtinya,4575.0,,,Greaseboss Industry Trials And Market Launch,Birtinya,4575.0,,2020-12-02,Sunshine Coast (R),Sunshine Coast,Kawana,100000
333,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Fiffy Solutions Pty Ltd,West End,4101.0,,,Commercialisation Of People Counting Solution,St Lucia,4067.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
334,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Hoops Crm Pty Ltd,Warana,4575.0,,,"Business Management Software For Print, Promo And Decorated Apparel Businesses",Warana,4575.0,,2021-12-20,Sunshine Coast (R),Sunshine Coast,Kawana,100000
335,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Ordo Enterprises Pty Ltd,Peregian Beach,4573.0,,,"Commercialising Ordo, A Mining Supervisor'S Shift Planning Digital Toolkit",Peregian Beach,4573.0,,2022-11-01,Noosa (S),Sunshine Coast,Noosa,100000
336,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,My Virtual Freight Forwarder Pty Ltd,Redland Bay,4165.0,,,All-In-One Digital Freight Management Platform For Small Cargo Importer Businesses,Redland Bay,4165.0,,2022-11-01,Redland (C),Brisbane And Redlands,Redlands,100000
337,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Predico Software Pty Ltd,Brisbane City,4000.0,,,Data Driven Ai For Resource Optimisation,Brisbane,4000.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mcconnel,177000
338,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Pemdx Pty Ltd,South Brisbane,4101.0,,,Flow-Bag Oxygen Mask Respiratory Indicator,South Brisbane,4101.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
339,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Layer Labs Pty Ltd,Bowen Hills,4006.0,,,Digital Ip Licensing Marketplace For Video Gaming Industry,Bowen Hills,4006.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mcconnel,200000
340,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Laronix Pty Ltd,Brisbane City,4000.0,,,Commercialising Voice Technology Supporting Phone/Online Communication In Voice-Impaired Communities,Brisbane City,4000.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mcconnel,197950
341,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Mineral Fox Pty Ltd,Coolum Beach,4573.0,,,Commercialisation Of Mineral Fox Botanicrete To The Australian Market,Coolum Beach,4573.0,,2022-11-01,Sunshine Coast (R),Sunshine Coast,Ninderry,100000
342,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Liquid State Pty Ltd,Stones Corner,4120.0,,,"Patient-Centred Platform For Chronic Disease Self-Monitoring, Management, And Communication",Stones Corner,4120.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Greenslopes,100000
343,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,S4S Trading Pty Ltd,Rochedale,4123.0,,,Switch4Schools - Student Mental Health And Wellbeing,Rochedale,4123.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mansfield,100000
344,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Voltin Operations Pty Ltd,Virginia,4014.0,,,"10,000 Safer Cities - Autonomous Façade Assessment System",Virginia,4014.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Nudgee,100000
345,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Townlec Auto Electrical Pty Ltd,Garbutt,4814.0,,,Commercialising Lokabox,Garbutt,4814.0,,2022-11-01,Townsville (C),Townsville,Townsville,100000
346,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Wdu Enterprises Pty Ltd,Burbank,4156.0,,,"Modular, Scalable & Flat-Packable Commercial (Large-Scale) Worm Farms",Burbank,4156.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mansfield,92940
347,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Watergum Community Inc,Burleigh Heads,4220.0,,,Watergum Cane Toad Tadpole Trap And Lures,Burleigh Heads,4220.0,,2022-11-01,Gold Coast (C),Gold Coast,Burleigh,200000
348,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Stackle Pty Ltd,Seven Hills,4170.0,,,Stackle For Innovating And Personalising Online Learning,Seven Hills,4170.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Bulimba,98500
349,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Spur Labs Pty Ltd,West End,4101.0,,,Toucan,West End,4101.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,South Brisbane,200000
350,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,The Smarter Towing Company Pty Ltd,Burbank,4156.0,,,Real-Time Wheel Bearing Monitoring For Trucks Caravans And Trailers.,Burbank,4156.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mansfield,100000
351,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Terracipher Pty Ltd,Alton Downs,4702.0,,,Shaipup - A Knowledge Brokering Marketplace,Alton Downs,4702.0,,2022-11-01,Rockhampton (R),Central Queensland,Mirani,100000
352,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Global Road Technology Holdings Pty Ltd,Southport,4215.0,,,Smart Dosing Unit For Mining Dust Suppression & Water Management,Southport,4215.0,,2022-11-01,Gold Coast (C),Gold Coast,Southport,100000
353,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Ops (Aust) Pty Ltd,Longreach,4730.0,,,Smart Remote Water Monitoring And Control,Longreach,4730.0,,2021-12-20,Longreach (R),Outback Queensland,Gregory,99560
354,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Nu Flow Technologies 2000 Pty Ltd,Molendinar,4214.0,,,Structural Rehabilitation Of Water Mains Using Uv Curing Epoxy Technology,Molendinar,4214.0,,2021-12-20,Gold Coast (C),Gold Coast,Southport,200000
355,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Simulation Training Group Pty Ltd,Bardon,4065.0,,,Virtual-Shot: Virtual Firearms Training Platform And Smartphone Mount,Bardon,4065.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Maiwar,100000
356,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Sendfx Pty Ltd,Southport,4215.0,,,Foreign Exchange Payments As Embedded Ficial Services For Corporate Clients,Southport,4215.0,,2021-12-20,Gold Coast (C),Gold Coast,Southport,99999
357,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Kova Australia Pty Ltd,Fortitude Valley,4006.0,,,Syla - Tax Reporting And Portfolio Management Software For Cryptocurrency,Fortitude Valley,4006.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
