_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
686,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Australian Coal Research Limited,Sensor Development To Push Boundaries Of Fine Coal Recovery - Hangil Park,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
687,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Arrow Energy Pty Ltd  Santos Limited  Australia Pacific Lng Pty Ltd,Sustainable Enhancement Of Coal Seam Gas Production In Queensland - Christopher Leonardi,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,300000
688,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Department Of Agriculture And Fisheries  Nufarm Australia Limited  Tropical Pines Pty Ltd  Howe Farming Enterprises Pty Ltd  Genesearch Pty Ltd,Rna Vaccines For Next Generation Crop Protection Against Fungal Pathogens - Anne Sawyer,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
689,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Australian Coal Research Limited,Better Tailings Dewatering Technology For Queensland Coal Industry – Majid Ejtemaei,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,65587
690,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Magnetica Limited,The Development Of Critical Components For Compact Musculoskeletal Mri Scanners - Fangfang Tang,Eagle Farm,4009.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
691,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Aquatec Maxcon Pty Ltd  Ridley Corporation Ltd  Ghd Pty Ltd  Ingham & Co Pty Ltd,Protein-Rich Feed Production From Agri-Industrial Wastewaters By Phototrophic Bacteria - Tim Hüelsen,Murarrie,4172.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
692,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Printed Energy Pty Ltd,Low-Cost And Printable Thin-Film Batteries For Self-Powered Electronic Devices-Miaoqiang Lyu,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,171361
693,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,,Forest And Wood Products Australia Limited  Department Of Agriculture And Fisheries  Hqplantations Pty Ltd  National Sirex Coordination Committee  Plant Health Australia,Biological Invasions In Forestry: Drivers & Mitigation For Industry'S Biosecurity - Helen Nahrung,Dutton Park,4102.0,,2018-10-22,Sunshine Coast (R),Brisbane And Redlands,Buderim,283135
694,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,Central Queensland University,Norman Gardens,4701.0,,Perfection Fresh Australia Pty Ltd,Automating Crop Estimation And Harvest Of Calypso Mango - Zhenglin Wang,Norman Gardens,4701.0,"Ontario Farms, Dimbullah, Qld.; Simpsons Orchards, Childers, Qld.; Daf Mareeba, Qld; Perfection Fresh, Brisbane Markets, Rocklea, Qld.",2019-11-18,Rockhampton (R),Central Queensland,Keppel,82440
695,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,Griffith University,Southport,4222.0,,Queensland Urban Utilities  Sydney Water Corporation  South Australia Water Corporation  Eurofins Environmental Testing Australia Pty Ltd,Risks Of Microplastics In Biosolids To Soils And Agro-Ecosystems - Shimaalsadat Ziajahromi,Southport,4215.0,"Darra Qld 4076, Australia (Sas Laboratories)/   Fortitude Valley Qld 4006 (Quu)",2019-11-18,Gold Coast (C),Gold Coast,Bonney,180000
696,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,,Sunshine Coast Hospital And Health Service,Next-Generation Diagnostics For Chronic Lung Disease Infections - Erin Price,Birtinya,4575.0,,2018-10-22,Sunshine Coast (R),Sunshine Coast,Buderim,300000
697,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Whitsunday Moorings And Marine Construction Pty. Ltd.,Autonomous Microwave Inspection Systems For Civil And Marine Industry – Ad Trakic,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,256630
698,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Sustainable Solutions International Pty Ltd  Synergen Met Limited,A Technology Of Pfas Remediation For Decontaminating Surface And Ground Water-Pradeep Shukla,Indooroopilly,4068.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,300000
699,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Flew Solutions Australia Pty Ltd,High Capacity And Low Cost Rechargeable Multivalent Metal Ion Batteries - Xiaodan Huang,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,288862
700,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Herston,Herston,4006.0,,Bionics Queensland Limited  Konica Minolta Business Solutions Australia Pty Ltd  Metro North Hospital And Health Service,Biofabrication For Advanced Burn Treatments With Next-Generation 3D Healthcare Technology - Sean Powell,Brisbane City,4000.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,180000
701,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,,Metro North Hospital And Health Service - Royal Brisbane And Women'S Hospital,A Protocol To Assess Chest Pain In The Emergency Department-Jaimi Greenslade,Herston,4006.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,297375
702,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Kelvin Grove,4059.0,,Metro North Hospital And Health Service  Mater Misericordiae Ltd,Patient-Reported Outcomes And Cost-Effectiveness Of Innovations Within Queensland Maternity Services - Elizabeth Martin,South Brisbane,4101.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,180000
703,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Herston,Herston,4006.0,,Bionics Queensland Limited  Konica Minolta Business Solutions Australia Pty Ltd  The University Of Queensland - Rbwh - Herston,Biofabrication For Orthopaedic And Soft Tissue Implants – Asha Mathew,Herston,4006.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,180000
704,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Central Queensland University,Norman Gardens,4701.0,,Australian Wool Innovation Limited,Autonomous Remote Predation And Disease Detection Of Sheep - Jaime Manning,Barcaldine,4725.0,,2018-10-22,Rockhampton (R),Outback Queensland,Rockhampton,180000
